dominio,ocorrencias
gmail.com,1276
hotmail.com,514
yahoo.com.br,231
ifc-araquari.edu.br,131
terra.com.br,70
sociesc.org.br,58
ifc.edu.br,49
ig.com.br,44
bol.com.br,41
googlegroups.com,41
datasul.com.br,38
comunidadesiloe.com.br,33
uol.com.br,22
yahoogrupos.com.br,20
brturbo.com.br,18
softwarelivre.org,17
tupy.com.br,16
sociesc.com.br,16
softexpert.com,13
msn.com,13
logocenter.com.br,12
aaspb.com.br,12
pop.com.br,12
yahoo.com,12
selbetti.com.br,11
live.com,10
joinville.udesc.br,9
eliasmoreira.com.br,8
ifc-camboriu.edu.br,8
proteste.org.br,7
hotmail.com.br,7
serpro.gov.br,7
aporte.com,6
fameg.edu.br,6
ibest.com.br,6
netvision.com.br,6
itflex.com.br,6
flytour.com.br,6
caixa.gov.br,6
expresso.com.br,6
saofrancisco.ifc.edu.br,6
sbc.org.br,5
novatec.com.br,5
simplesconsultoria.com.br,5
domosolucoes.com.br,5
joinville.sc.gov.br,5
unilestemg.br,5
bmasistemas.com.br,5
latinoware.org,5
integral.inf.br,5
udesc.br,5
cieesc.org.br,5
copacol.com.br,5
ifc-concordia.edu.br,5
schulz.com.br,5
milium.com.br,4
pearsoned.com,4
arcelormittal.com.br,4
temporeal.com.br,4
ifc-videira.edu.br,4
microsiga.com.br,4
listas.softwarelivre.org,4
edmlogos.com.br,4
globo.com,4
async.com.br,4
yahoogroups.com,4
python.org.br,4
ymail.com,4
ifsc.edu.br,4
premioseg.com.br,4
weg.net,4
yahoogrupos.com.b,4
linuxmall.com.br,3
embraco.com.br,3
totvs.com.br,3
ifc-sombrio.edu.br,3
solucoes.com.br,3
ucdb.br,3
inf.ufsc.br,3
grupoestado.com.br,3
netservicos.com.br,3
oglobo.com.br,3
neomind.com.br,3
univille.br,3
cipla.com.br,3
br-linux.org,3
jesuscopy.com,3
fcj.com.br,3
cravil.com.br,3
sc.senac.br,3
informant.com.br,3
nortesc.kch.com.br,3
joinville.unimedsc.com.br,3
ciser.com.br,3
neogrid.com.br,3
euax.com.br,3
facebook.com,3
amanco.com,3
unerj.br,3
unimednm.coop.br,3
accor.com.br,3
asc.sk,3
linuxnewmedia.com.br,3
nexedi.com,3
informatech.com.br,3
indt.org.br,3
kindle.com,3
vickmaquinas.com.br,3
ilhanet.com.br,3
busscar.com.br,3
unroll.me,3
kugel.com.br,2
softville.org.br,2
bemcomum.org,2
ligaturismo.com.br,2
tst.gov.br,2
sonda.com,2
rudnick.com.br,2
managerconsulting.com.br,2
imotion-info.com,2
lzt.com.br,2
cengagelearning.com,2
edei.com.br,2
reitoria.ufsc.br,2
unimedsc.com.br,2
altabooks.com.br,2
thomson.com,2
santosanjos.g12.br,2
ielsc.org.br,2
softilux.com.br,2
gecel.com.br,2
cnpso.embrapa.br,2
univali.br,2
quantus.com.br,2
a2c.com.br,2
pythonbrasil.com.br,2
fatordigital.net,2
expectv.com.br,2
ciadoslivros.com.br,2
koinonya.com,2
multitasknet.com.br,2
bc2c.com.br,2
brturbo.com,2
neogrid.com,2
horario.com.br,2
celulas.com.br,2
cengage.com,2
centroeducacionalsiloe.com.br,2
iosul.com.br,2
ceugames.com,2
cieepr.org.br,2
caesegatos.com,2
imobiliaria636.com.br,2
pythonbrasil.org.br,2
submarino.com.br,2
newcamera.com.br,2
ytrio.com.br,2
sertao.ifrs.edu.br,2
fecoagro.coop.br,2
gesplan.com.br,2
pti.org.br,2
neoyama.com.br,2
darutech.com.br,2
deitel.com,2
knunes.com.br,2
dijosturismo.com.br,2
automaxveiculos.com.br,2
poli.ufrj.br,2
laboratoriogimenes.com.br,2
videolar.com,2
petrobras.com.br,2
ajorpeme.com.br,2
gidion.com.br,2
solisc.org.br,2
guxlle.org,2
editoralt.com.br,2
brasimet.com.br,2
kennedynunes.com.br,2
click21.com.br,2
docol.com.br,2
transville.com.br,2
brunken.com.br,2
caryma.com.br,2
google.com,2
softran.com.br,2
opencore.com.br,2
oscara.com.br,2
openbossa.org,2
zquattro.com,2
ilpea.com,2
vector.agr.br,2
joinville.senai.br,2
inf.ufrgs.br,2
diaspar.com.br,2
mobohelp.com.br,2
ifc-riodosul.edu.br,2
agemed.com.br,2
erica.com.br,2
inesa.com.br,2
belasartesjoinville.com.br,2
idgnow.com.br,2
petratribute.com,2
johnwschlitt.com,2
linuxmagazine.com.br,2
positivo.com.br,2
grupoliberato.com,2
hotelcontinentalcanela.com.br,2
cvj.sc.gov.br,2
me.com,2
wmfmartinsfontes.com.br,2
emc.ufsc.br,2
econofisica.com.br,2
vivomms.com.br,1
br.ibm.com,1
abomg.org.br,1
vegaturbo.com.br,1
grieg.com.br,1
canonical.com,1
totalcad.com.br,1
amunesc.org.br,1
unoescsmo.edu.br,1
rnp.br,1
bossaconference.org,1
cipo.org.br,1
dellap.com.br,1
servma.com.br,1
werk.eng.br,1
ceviu.com.br,1
souzacruz.com.br,1
walbert.com.br,1
m2solution.com.br,1
oracle.com,1
malucelli.net,1
lsi.usp.br,1
coopercargo.com.br,1
riverinformatica.com.br,1
dhromos.com.br,1
microvix.com.br,1
steelcarbon.com.br,1
joinvillenoticias.com.br,1
silvaesilvajr.adv.br,1
tinews.com.br,1
guaratuba.pr.gov.br,1
cneconline.com.br,1
douattextil.com.br,1
danica.com.br,1
creare.com.br,1
maggion.com.br,1
ademilar.com.br,1
att.srv.br,1
vidadeprogramador.com.br,1
inf.ufsm.br,1
dbm.com,1
aceadm.com.br,1
dcc.ufla.br,1
mail.sociesc.org.br,1
esss.com.br,1
micromed.com.br,1
sunfilmpeliculas.com.br,1
bibliafreestyle.com.br,1
agenciacatolica.com.br,1
convitesandrearamos.com.br,1
rachelnovaes.com.br,1
sorocaba.unesp.br,1
alesc.sc.gov.br,1
coobrastur.com.br,1
itmidia.com.br,1
arteccom.com.br,1
brasiltelecom.com.br,1
hotelveleiro.com.br,1
livrariasaraiva.com.br,1
augustocampos.net,1
jabber.org,1
musicalmente.org,1
trbvn.com,1
ielusc.br,1
torresautomacao.com.br,1
pearson.com,1
jeferson.silva.nom.br,1
fabricadascapas.com.br,1
conectiva.com.br,1
apolocalcados.com.br,1
counterpane.com,1
haxent.com.br,1
unoeste.edu.br,1
burig.com.br,1
buschle.com.br,1
nestle.com.br,1
zap.com.br,1
fastparts.com.br,1
caiare.com.br,1
bokitos.com.br,1
fastjob.com.br,1
fccargaf.com.br,1
fccargas.com.br,1
sccargas.com.br,1
transmagna.com.br,1
carlosaggio.com,1
tanakatransportes.com,1
pucpr.br,1
terlogs.com.br,1
lemonde.com.br,1
casalimpajoinville.com.br,1
indimagem.com.br,1
ctinfo.com.br,1
metalsul.joi.com.br,1
crwjoi.com.br,1
univille.edu.br,1
hotmail.co.uk,1
fatesc.com.br,1
minipa.com.br,1
prioriti.com.br,1
tan.com.br,1
schulz.eng.br,1
alfaeletro.com.br,1
marcegaglia.com.br,1
chacarasaguacu.com.br,1
acacomercial.com.br,1
ifac.edu.br,1
clicksign.com,1
unionhoteis.com.br,1
serv.com.br,1
megapropagandas.com.br,1
superdownloads.com.br,1
ufrgs.br,1
planalto.gov.br,1
solucoeshidraulicas.com.br,1
amplacursos.com.br,1
opensource.datasul.com.br,1
dbio.com.br,1
hotelcoresdomar.com.br,1
megatecno.com.br,1
pierdeipanema.com.br,1
redbug.com.br,1
reliquiasemdvd.com.br,1
reliquiasemdvds.com.br,1
restauranteriviera.com.br,1
seec.ieqmg.com.br,1
tenhaseusite.com.br,1
